D13023	Direktno ili indirektno prekrivanje pulpe	1654
D13024	Kontrola vitaliteta zuba, po zubu. Postupak se ne može obračunati dodatno pregledno	
D13025	Mortalna amputacija mliječnog zuba	
D13026	Mortalna ekstirpacija kod djece predškolskog i školskog uzrasta	
D13027	Vitalna ekstirpacija pulpe i punjenje korjenskog kanala kod predškolskog djeteta	
D13028	Vitalna ekstirpacija pulpe i punjenje korjenskog kanala kod školske djece	
D13029	Liječenje gangrene i punjenje korjenskog kanala kod predškolskog djeteta	
D13030	Liječenje gangrene i punjenje korjenskog kanala kod školske djece do 15-te godine starosti	
D13031	Mortalna ekstirpacija i punjenje kanala	
D13032	Vitalna ekstirpacija i punjenje kanala	
D13033	Liječenje gangrene i punjenje kanala	
D13034	Ponovljeno endodontsko liječenje uključujuće odstranjivanje starog neodgovarajućeg punjenja iz korjenskih kanala, instrumentaciju i druga prijepreka iz korjenskih kanala u jednoj posjeti	
D13035	Incizija submukoznih apscesa (parulisa, parodontalnog) u usnoj šupljini i drenaža	
D13036	Trepanacija kanala pulpe	
D13037	Površinska, kontaktna anestezija	
D13038	Lokalna infiltracijska, odnosno sprovodna anestezija	
D13039	Ekstrakcija jednokorjenog mliječnog zuba	
D13040	Ekstrakcija višekorjenog mliječnog zuba	
D13041	Ekstrakcija jednokorjenog zuba	
D13042	Ekstrakcija višekorjenog zuba	
D13043	Komplikovano vađenje zuba - odstranjivanje slomljenih ili zaostalih korjena na separacijom korjena sa eventual. šavom i sl.	
D13044	Ekstrakcija zuba kod rizičnih bolesnika	
D13045	Replantacija zuba	
D13046	Splint od kompozita	
D13047	Uklanjanje splinta od kompozita	
D13048	Previjanje gingive po kvadrantu	
D13049	Liječenje postekstrakcionih komplikacija (bol post ex, alveolitis, orijantacija komunikacija itd)	
D13050	Zaustavljanje krvarenja nakon ekstrakcije zuba	
D13051	Privremeni ispun od cementa kod djece do 15-te godine. Može se ponovo obračunati 6 mjeseci nakon stavljanja prvog ispuna	
D13052	Privremeno zatvaranje zuba i lijek kod prve pomoći. Isključuje: prekrivanje pulpe, amputaciju, ekstirpaciju	
D13053	Propisivanje lijekova na recept ili izdavanje uputa. Postupci se obračunavaju samo jednom bez obzira na broj posjeta. Obavezno je evidentnirati propisane recepte i upute u zdrav. karton	
D13054	Trajno cementiranje ili skidanje stare krunice ili člana mosta	
D13055	Izdavanje ljekarske potvrde	
D13056	Izdavanje ljekarskog opravdanja	
D18001	Laboratorijska izrada livene metalne krunice	
D18002	Laboratorijska izrada livenog člana u mostu	
D18003	Laboratorijska izrada livene cijele krunice	
D18004	Laboratorijska izrada livene fasetirane krunice	
D18005	Laboratorijska izrada livene fasetiranog međučlana	
D18006	Laboratorijska izrada punog međučlana	
D18007	Zagrizni šablon kod fiksne protetike	
D18008	Laboratorijska izrada parcijalne proteze od akrilata sa bazom do deset elemenata	
D18009	Laboratorijska izrada parcijalne proteze od akrilata sa bazom preko deset elemenata	
D18010	Laboratorijska izrada totalne polimer proteze s metalnom bazom	
D18011	Laboratorijska izrada livene metalne proteze. Sadrži livene elemente parcij. proteze sa livenom bazom (parc. skel. proteza)	
D18012	Laboratorijska izrada totalne proteze	
D18013	Akrilatna individualna kašika	
