"URL","Impressions","Clicks","Last crawled","Discovered on","HTTP code","Document size","Backlinks"
"https://docta.me/services/thyroidectomy","3","3","2026-05-28","2026-05-31","200","310573","0"
"https://docta.me/services/esophagogastroduodenoscopy-with-dilatation","3","2","2026-07-19","2026-05-09","200","269730","0"
"https://docta.me/services/3771","1","1","2026-01-24","2026-01-24","200","104598","0"
"https://docta.me/services/hickman-permanent-dialysis-catheter-placement","2","1","2026-07-24","2026-05-31","200","308712","0"
"https://docta.me/services/autologous-transfusion","1","1","2026-05-15","2026-05-17","200","241825","0"
"https://docta.me/services/gastroscopy-and-colonoscopy","3","1","2026-07-04","2026-04-01","200","258277","0"
"https://docta.me/services/hearing-loss-percentage-calculation-fowler-sabine-formula","2","1","2026-04-01","2026-04-01","200","129873","0"
"https://docta.me/services/wedge-gastric-resection","1","1","2026-07-01","2026-04-09","200","257251","0"
"https://docta.me/services/quick-aligner","1","1","2026-07-19","2026-05-27","200","262079","0"
"https://docta.me/services/nipple-reduction","3","1","2026-07-09","2026-04-01","200","256896","0"
"https://docta.me/services/liposuction-under-general-anesthesia?lang=en","1","1","2026-07-11","2026-04-01","200","295324","0"
"https://docta.me/services/hyalubrix-60mg-with-clinic-ampoule","1","1","2026-04-10","2026-04-10","200","0","0"
"https://docta.me/services/ecg?lang=en","3","1","2026-07-18","2026-04-01","200","423528","0"
"https://docta.me/services/rhinoplasty","1","1","2026-07-04","2026-06-07","200","308686","0"
"https://docta.me/services/small-bowel-partial-resection-with-primary-anastomosis","1","1","2026-05-09","2026-04-01","200","255098","0"
"https://docta.me/services/diffusion-and-spirometry","1","1","2026-04-01","2026-04-01","200","128153","0"
"https://docta.me/services/blood-vessels-doppler","2","1","2026-04-01","2026-04-01","200","198781","0"
"https://docta.me/services/primary-hand-extensor-tendon-repair","3","1","2026-05-28","2026-05-30","200","255227","0"
"https://docta.me/services/breast-ultrasound?lang=ru","1","1","2026-07-08","2026-04-27","200","565589","0"
"https://docta.me/services/prostate-biopsy","2","1","2026-07-19","2026-05-16","200","260422","0"
"https://docta.me/services/1979","2","1","2026-01-24","2026-01-24","200","151109","0"
"https://docta.me/services/laparoscopic-liver-biopsy","1","1","2026-07-08","2026-07-08","200","282947","0"
"https://docta.me/services/3508","1","1","2026-01-24","2026-01-24","200","105578","0"
"https://docta.me/services/surface-biopsy-punch-system","1","0","2026-07-13","2026-05-06","200","278571","0"
"https://docta.me/services/3492","0","0","2026-01-24","2026-01-24","200","105645","0"
"https://docta.me/services/urinary-catheter-placement","0","0","2026-04-01","2026-04-01","200","144832","0"
"https://docta.me/services/selective-and-subselective-phlebography","0","0","2026-07-01","2026-06-23","200","261711","0"
"https://docta.me/services/fixed-orthodontic-check-up","0","0","2026-04-01","2026-04-01","200","159454","0"
"https://docta.me/services/medical-transport-als-up-to-50km","0","0","2026-05-10","2026-05-11","200","232172","0"
"https://docta.me/services/mri-lumbosacral-plexus","0","0","2026-06-28","2026-04-01","200","257943","0"
"https://docta.me/services/autoimmune-neurological-disease-treatment","0","0","2026-05-23","2026-05-24","200","248289","0"
"https://docta.me/services/professor-colposcopy?lang=tr","0","0","2026-04-01","2026-04-01","200","132763","0"
"https://docta.me/services/prp-vampire-facelift-own-plasma","0","0","2026-05-21","2026-04-01","200","255974","0"
"https://docta.me/services/influenza-a-virus-igg-elisa","0","0","2026-07-22","2026-07-22","200","275857","0"
"https://docta.me/services/cardiologist-examination-with-ultrasound?lang=en","0","0","2026-04-01","2026-04-01","200","148891","0"
"https://docta.me/services/histopathology-of-uterus","0","0","2026-07-26","2026-07-26","200","302458","0"
"https://docta.me/services/oxygen-administration","0","0","2026-06-11","2026-06-11","200","288127","0"
"https://docta.me/services/upper-and-lower-extremity-doppler","1","0","2026-04-01","2026-04-01","200","147790","0"
"https://docta.me/services/adult-personality-structure-assessment","0","0","2026-06-03","2026-06-05","200","267789","0"
"https://docta.me/services/segmental-fixed-orthodontic-appliance","1","0","2026-05-30","2026-04-01","200","284843","0"
"https://docta.me/services/sports-medical-examination","0","0","2026-07-05","2026-05-12","200","270496","0"
"https://docta.me/services/borrelia-burgdorferi-igg-antibodies-confirmatory-test-western-blot","0","0","2026-07-22","2026-07-22","200","278250","0"
"https://docta.me/services/iv-cannula-application","0","0","2026-04-01","2026-04-01","200","179976","0"
"https://docta.me/services/x-ray-temporomandibular-joint","1","0","2026-07-16","2026-05-07","200","259568","0"
"https://docta.me/services/3192","0","0","2026-03-01","2026-01-24","200","113397","0"
"https://docta.me/services/mri-brain-with-head-arteriography","0","0","2026-07-13","2026-04-01","200","259659","0"
"https://docta.me/services/endocrinologist-examination-with-ultrasound","0","0","2026-04-01","2026-04-01","200","146326","0"
"https://docta.me/services/inverted-nipple-correction","0","0","2026-04-01","2026-04-01","200","130919","0"
"https://docta.me/services/transthoracic-diaphragm-plication","0","0","2026-06-30","2026-06-30","200","257980","0"
